seed,scenario,level,label_amplitude,epsilon,method,alpha,kappa_x,kappa_y,scale,rmse_all,rmse_plausible,mae_plausible,r2_plausible,median_relative_error_plausible,prediction_drift_rmse,prediction_drift_p95,coefficient_drift_l2,mean_geom_weight,fraction_geom_clipped,mean_resid_weight,fraction_resid_clipped,mean_corrupt_geom_weight,mean_corrupt_resid_weight,mean_corrupt_combined_weight,irls_iterations,delta_rmse_plausible,delta_rmse_all
1101,nominal_raw,0.0,,0.0,ridge,0.001,3.273533633738855,2.0,0.18495611805939283,0.2842032646975366,0.2842032646975366,0.19348236046645034,0.701002487129122,0.13970955835963372,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1,0.0,0.0
1101,nominal_raw,0.0,,0.0,huber,0.001,3.273533633738855,2.0,0.18495611805939283,0.2852826616963582,0.2852826616963582,0.19163159153523965,0.6987270038266025,0.13716946791924178,0.0,0.0,0.0,1.0,0.0,0.9914232090549918,0.03117154811715481,,,,6,0.0,0.0
1101,nominal_raw,0.0,,0.0,geometry,0.001,3.273533633738855,2.0,0.18495611805939283,0.2853147375872759,0.2853147375872759,0.1932894694363036,0.6986592524745228,0.13831574971593108,0.0,0.0,0.0,0.9933388561971693,0.06317991631799164,1.0,0.0,,,,1,0.0,0.0
1101,nominal_raw,0.0,,0.0,bgr,0.001,3.273533633738855,2.0,0.18495611805939283,0.28650474166760453,0.28650474166760453,0.19171029072484827,0.6961403181343959,0.13732788924655603,0.0,0.0,0.0,0.9933388561971693,0.06317991631799164,0.9915059847204434,0.03138075313807531,,,,6,0.0,0.0
1101,vertical_amplitude,4.0,,0.05,ridge,0.001,3.273533633738855,2.0,0.18495611805939283,0.34081486970515235,0.34081486970515235,0.2436132316060786,0.5700217178042534,0.18199020066039762,0.17530212176773477,0.3141895534313841,2.5587681739990695,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0.05661160500761575,0.05661160500761575
1101,vertical_amplitude,4.0,,0.05,huber,0.001,3.273533633738855,2.0,0.18495611805939283,0.2871723268927815,0.2871723268927815,0.19247769696239753,0.6947226203599006,0.1389065015173494,0.023756139055705207,0.04211381267851255,0.3557318162324224,1.0,0.0,0.9745647487076229,0.049372384937238493,1.0,0.09420178201105717,0.09420178201105717,8,0.0018896651964233069,0.0018896651964233069
1101,vertical_amplitude,4.0,,0.05,geometry,0.001,3.273533633738855,2.0,0.18495611805939283,0.3442661120504458,0.3442661120504458,0.24431763624970626,0.5612693246310771,0.186327214614588,0.17775554931644372,0.3197748502216591,2.559306521437972,0.9933388561971693,0.06317991631799164,1.0,0.0,0.9951336156153168,1.0,0.9951336156153168,1,0.05895137446316995,0.05895137446316995
1101,vertical_amplitude,4.0,,0.05,bgr,0.001,3.273533633738855,2.0,0.18495611805939283,0.28848699600013383,0.28848699600013383,0.19248894031405642,0.6919211150417627,0.13654367512566845,0.023850363185623804,0.043194328649724945,0.3549976657474615,0.9933388561971693,0.06317991631799164,0.9745555769535846,0.049372384937238493,0.9951336156153168,0.0942096261916027,0.09369472457230196,8,0.0019822543325292985,0.0019822543325292985
1101,leverage_amplitude,50.0,,0.05,ridge,0.001,3.273533633738855,2.0,0.18495611805939283,0.4388409033092888,0.4388409033092888,0.3398808997517229,0.2871081470234642,0.279724425281623,0.3228067439527459,0.6058096889547588,3.139704338236454,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0.15463763861175223,0.15463763861175223
1101,leverage_amplitude,50.0,,0.05,huber,0.001,3.273533633738855,2.0,0.18495611805939283,0.4361665096883246,0.4361665096883246,0.33640652361642015,0.295770712114242,0.2765546169579304,0.32592069302202503,0.6158636092503844,3.2251648841751464,1.0,0.0,0.9638355668894771,0.11276150627615063,1.0,0.8465403244692247,0.8465403244692247,12,0.1508838479919664,0.1508838479919664
