seed,test_mse_initial,test_mse_final,median_relative_jacobian_drift,q90_relative_jacobian_drift,spearman_contraction_initial_final,kernel_alignment_initial_final,kernel_normalized_drift_initial_final,representation_alignment_initial_final,representation_normalized_drift_initial_final,kernel_alignment_epoch_0,representation_alignment_epoch_0,kernel_alignment_epoch_25,representation_alignment_epoch_25,kernel_alignment_epoch_100,representation_alignment_epoch_100,kernel_alignment_epoch_300,representation_alignment_epoch_300
9100,1.0601777823688663,0.09990280796571756,2.1385480455117714,3.1591157038133573,0.7879856442849363,0.7893783159257993,0.6490326402796713,0.5868697477292173,0.908988726300588,1.0000000000000002,0.9999999999999999,0.8711236170459392,0.6516114062135789,0.8181669862458432,0.6179682377507411,0.7893783159257993,0.5868697477292173
9101,1.015524559904011,0.10551169622704382,3.397640820406928,5.1657436273433515,0.8598162201802242,0.7388928881796912,0.7226439120622393,0.5061622855167561,0.9938186096901626,1.0000000000000002,1.0,0.8786078141072816,0.7495435936857978,0.8050581710171599,0.5889492702479663,0.7388928881796912,0.5061622855167561
9102,1.2983053565684857,0.11175083356597051,2.8517115652367035,5.033129620314716,0.8304394493272146,0.7622380264343077,0.6895824440423237,0.5892960626925472,0.9063155491410846,0.9999999999999999,1.0,0.8559870873845125,0.6587604008824632,0.8038157301729374,0.634009611590874,0.7622380264343077,0.5892960626925472
9103,0.9948450509457941,0.10378668040080734,2.5588605565224642,4.590136000675225,0.8334977055300613,0.7315377666305023,0.732751299377214,0.49496949347615815,1.005017916779439,1.0000000000000002,0.9999999999999999,0.8913893766752728,0.7032948789609681,0.8081766772221499,0.5935769314937204,0.7315377666305023,0.49496949347615815
9104,1.1309014703612021,0.08807627549754474,2.0776918667254787,3.147608525194807,0.8466929632551472,0.7831319914820536,0.6585863778092385,0.5698067645670989,0.9275701972712375,1.0000000000000002,1.0,0.8643526912792533,0.5966934269235911,0.8360951925574508,0.5997009846084802,0.7831319914820536,0.5698067645670989
9105,0.9330854179585708,0.07453451240605004,2.8788382967702084,4.504911361354819,0.8467298525539172,0.7519351321599412,0.704364774587797,0.5462408595644702,0.9526375390834962,1.0000000000000002,1.0000000000000002,0.8950794699455458,0.7650354148477971,0.7832220854264608,0.5824333067373295,0.7519351321599412,0.5462408595644702
9106,0.9654552147992846,0.10126100322851797,2.1337158403337693,3.9901871185738793,0.8130115104929597,0.8231318048337458,0.5947574214186053,0.6674729783623886,0.8155084568998797,1.0000000000000002,0.9999999999999999,0.8821889230178025,0.69030314998597,0.8528065611276525,0.6968694023993806,0.8231318048337458,0.6674729783623886
9107,1.1348013539955117,0.0794155505492749,2.6732499258019136,3.8088302808142473,0.8493423260258447,0.851523216798925,0.5449344606483887,0.657542185047167,0.8275962964547786,1.0000000000000002,1.0,0.8758006086416267,0.6638947610717242,0.8850865261929245,0.7168153484113,0.851523216798925,0.657542185047167
9108,0.9392195427321783,0.13895617762981602,2.124722159605367,3.1000881682170305,0.8580210891232124,0.8194396651518118,0.6009331657483854,0.5590651738894467,0.9390791512013813,1.0000000000000004,1.0,0.8817089026004739,0.640391677073907,0.8101940108476933,0.5342649377612994,0.8194396651518118,0.5590651738894467
9109,1.2978173570162275,0.11069417407462795,2.253488483523136,4.631523828629821,0.8133148146090511,0.7601099428814689,0.6926616159691996,0.5595894012309359,0.9385207496577411,1.0000000000000004,1.0000000000000002,0.8498358842684779,0.6153240416134859,0.7955878933875844,0.579743337160655,0.7601099428814689,0.5595894012309359
