seed,rank,kappa_y,ridge_rmse,huber_rmse,nominal_ratio,scale
3101,0,1.5,0.7955442855198301,0.7721363878159871,0.9705762480732953,0.18544521910795952
3101,1,2.0,0.7955442855198301,0.7762399533882463,0.9757344342949181,0.18544521910795952
3101,2,3.0,0.7955442855198301,0.7817636641133334,0.9826777444608353,0.18544521910795952
3101,3,4.0,0.7955442855198301,0.787435433584673,0.9898071646258404,0.18544521910795952
3101,4,6.0,0.7955442855198301,0.7943539502327952,0.9985037472976666,0.18544521910795952
3202,0,1.5,0.6662364341086939,0.6547830493218767,0.9828088285172518,0.17802487499627873
3202,1,2.0,0.6662364341086939,0.656225344242253,0.9849736679744421,0.17802487499627873
3202,2,3.0,0.6662364341086939,0.6583235238760509,0.9881229698234244,0.17802487499627873
3202,3,4.0,0.6662364341086939,0.660912809278655,0.9920094060344193,0.17802487499627873
3202,4,6.0,0.6662364341086939,0.6657069181826697,0.9992052131962242,0.17802487499627873
3303,0,1.5,0.5738447193252809,0.5751765544919323,1.0023208981834273,0.17145050875218065
3303,1,2.0,0.5738447193252809,0.5741294420799249,1.0004961668985624,0.17145050875218065
3303,2,3.0,0.5738447193252809,0.5696154184024432,0.9926298861339868,0.17145050875218065
3303,3,4.0,0.5738447193252809,0.5695301487708982,0.9924812925708271,0.17145050875218065
3303,4,6.0,0.5738447193252809,0.5732026837399177,0.998881168435046,0.17145050875218065
