seed,corruption_magnitude,score,roc_auc,average_precision,precision_at_k,rare_clean_fraction_in_top_k,rare_clean_share_of_false_alarms,k,gamma,location_shrink,scale_mix
4,1.5,local_euclidean,0.9592855470659574,0.5889710818826686,0.6058158319870759,0.0016155088852988,0.0040983606557377,32.0,0.25,0.5,0.75
4,1.5,local_ridge_geometry,0.9582377551850576,0.6316604522324613,0.6478190630048465,0.0032310177705977,0.0091743119266055,32.0,0.25,0.5,0.75
5,1.5,global,0.9456629480629668,0.442958480420592,0.4894991922455573,0.048465266558966,0.0949367088607595,,,,
5,1.5,local_euclidean,0.949448044347154,0.5590766177329033,0.5993537964458805,0.0355411954765751,0.0887096774193548,64.0,0.0,0.25,0.75
5,1.5,local_ridge_geometry,0.953371304473022,0.6091509401332376,0.6510500807754442,0.0290791599353796,0.0833333333333333,32.0,0.0,0.5,0.75
6,1.5,global,0.9538922948219511,0.4443190911247558,0.4781906300484653,0.0565428109854604,0.1083591331269349,,,,
6,1.5,local_euclidean,0.960568632562217,0.6218297949528679,0.6155088852988692,0.0452342487883683,0.1176470588235294,64.0,0.0,0.75,1.0
6,1.5,local_ridge_geometry,0.9637492472146052,0.6370699743975375,0.6575121163166397,0.0387722132471728,0.1132075471698113,64.0,0.0,0.5,0.75
7,1.5,global,0.951044815132036,0.4442194616444922,0.4911147011308562,0.0500807754442649,0.0984126984126984,,,,
7,1.5,local_euclidean,0.9583090311239848,0.6144272421649377,0.6348949919224556,0.0371567043618739,0.1017699115044247,128.0,0.0,0.75,1.0
7,1.5,local_ridge_geometry,0.9588577728368228,0.6574451540437526,0.6413570274636511,0.0339256865912762,0.0945945945945946,64.0,0.0,0.75,1.0
8,1.5,global,0.9486068459531276,0.4233012732632785,0.4620355411954766,0.0549273021001615,0.1021021021021021,,,,
8,1.5,local_euclidean,0.9563468673809756,0.5477641509327467,0.6122778675282714,0.0371567043618739,0.0958333333333333,32.0,0.0,0.5,0.75
8,1.5,local_ridge_geometry,0.955066509582878,0.5931848343954542,0.6042003231017771,0.0436187399030694,0.110204081632653,64.0,0.0,0.75,1.0
9,1.5,global,0.9404592115434288,0.4277777402099378,0.481421647819063,0.0759289176090468,0.146417445482866,,,,
9,1.5,local_euclidean,0.9510259584360472,0.5769486845980202,0.6187399030694669,0.0403877221324717,0.1059322033898305,32.0,0.0,0.75,0.75
9,1.5,local_ridge_geometry,0.9481995887579936,0.6454090055602609,0.6510500807754442,0.0323101777059773,0.0925925925925925,64.0,0.0,0.75,1.0
0,3.0,global,0.9973969457845088,0.9551842564231038,0.9240710823909531,0.0177705977382875,0.2340425531914893,,,,
0,3.0,local_euclidean,0.9965600168310836,0.941101779693446,0.8707592891760905,0.0032310177705977,0.025,32.0,0.25,0.5,0.75
0,3.0,local_ridge_geometry,0.9955391461450864,0.930617698988861,0.8659127625201939,0.0,0.0,128.0,0.25,0.75,1.0
1,3.0,global,0.9970176771444274,0.9528835845152994,0.9224555735056544,0.0145395799676898,0.1875,,,,
