rep,player,shapley_information,register_information_average,shapley_predictive,register_predictive_average
0,0,0.10598968017996917,0.10598968017996915,-0.0021376855965519084,-0.0021376855965519028
0,1,0.14357149244713566,0.14357149244713535,0.057100753588486514,0.05710075358848653
0,2,0.0481019518905966,0.048101951890596455,0.0081677803462138,0.008167780346213745
0,3,0.3051263145301242,0.30512631453012423,0.06176923229481414,0.06176923229481414
0,4,0.25119405523076077,0.25119405523076077,0.006915933273039222,0.0069159332730392275
0,5,0.21435742679192435,0.2143574267919243,0.07496363444186534,0.07496363444186535
0,6,0.11592841754587153,0.1159284175458716,0.0035263034552243957,0.0035263034552244776
0,7,0.13849997663917984,0.1384999766391799,0.03558728277821417,0.03558728277821417
1,0,0.11541314538901674,0.11541314538901687,0.0891360742062389,0.08913607420623888
1,1,0.2257524515375967,0.22575245153759682,0.0368232926202987,0.03682329262029868
1,2,0.3633287670198948,0.363328767019895,-0.02928870213646628,-0.029288702136466324
1,3,0.2645735122205011,0.26457351222050124,-0.001685842358567714,-0.0016858423585677644
1,4,0.0766081836563669,0.07660818365636696,0.016130851198931616,0.01613085119893161
1,5,0.127182384232857,0.1271823842328569,0.0003372702332349846,0.00033727023323497325
1,6,0.279692704355352,0.2796927043553522,0.1359138862081262,0.1359138862081262
1,7,0.10435417260728874,0.104354172607289,-0.025817541791841085,-0.025817541791841116
2,0,0.2379820764599903,0.23798207645999025,0.006286213498220146,0.006286213498220161
2,1,0.3175393603664458,0.3175393603664458,0.007230559611109943,0.0072305596111099405
2,2,0.22154097528930652,0.2215409752893065,0.0029182814155464766,0.0029182814155464852
2,3,0.10819543916142202,0.10819543916142209,-2.332515120743951e-05,-2.3325151207433243e-05
2,4,0.18980354600280322,0.18980354600280303,-0.010735410234589439,-0.010735410234589446
2,5,0.01477172775583454,0.014771727755834515,0.0006050394644679206,0.00060503946446792
2,6,0.15218137628500775,0.15218137628500764,0.006671659469004823,0.006671659469004864
2,7,0.34662361076691167,0.3466236107669117,0.0011020123271113114,0.0011020123271112863
3,0,0.11116970550989601,0.11116970550989569,0.02815756761494163,0.028157567614941627
3,1,0.1825884702923757,0.1825884702923755,0.06626400578987812,0.06626400578987812
3,2,0.22919064448951063,0.2291906444895106,0.04233301730715906,0.042333017307159146
3,3,0.23807738001925824,0.2380773800192584,0.04028310899607275,0.04028310899607292
3,4,0.13881107809960966,0.13881107809960974,0.0006399197577408488,0.0006399197577409191
3,5,0.13342586149263103,0.13342586149263097,0.06367823201684722,0.06367823201684733
3,6,0.11575194840015081,0.11575194840015064,0.004529665186655595,0.00452966518665558
3,7,0.19852976294276228,0.19852976294276228,0.06041425186859415,0.06041425186859416
4,0,0.22511189517068214,0.22511189517068186,0.1056004823954506,0.10560048239545074
4,1,0.11881257826506224,0.11881257826506235,0.005198724999532401,0.0051987249995324196
4,2,0.16662670299900414,0.16662670299900414,0.08822526730304071,0.08822526730304067
4,3,0.24203350708696136,0.24203350708696145,0.0547845701644125,0.054784570164412516
4,4,0.2889727058404504,0.2889727058404502,0.028794743809844942,0.028794743809845088
4,5,0.2330292555986585,0.23302925559865859,0.029525698157767583,0.029525698157767538
4,6,0.09918969688958355,0.09918969688958346,0.016161522612212702,0.01616152261221266
4,7,0.3257613156947935,0.32576131569479333,0.17348208209128854,0.1734820820912887
5,0,0.1616966157921396,0.16169661579213954,-0.03810797929166887,-0.03810797929166896
5,1,0.05793332936986572,0.05793332936986573,0.041425567462755844,0.0414255674627558
5,2,0.09613145150325171,0.09613145150325168,0.05158125248531194,0.051581252485312014
5,3,0.3997433886832031,0.39974338868320347,-0.0027681459442216727,-0.0027681459442216397
5,4,0.26485069474361234,0.2648506947436125,0.0034205648918602598,0.003420564891860275
5,5,0.234616224334466,0.23461622433446605,-0.03113422289073849,-0.03113422289073846
5,6,0.45261164059736053,0.4526116405973606,0.10570732120505626,0.10570732120505621
5,7,0.09481080769562723,0.09481080769562708,0.02271975772271237,0.022719757722712373
6,0,0.2650208158075631,0.26502081580756304,0.09138975736736728,0.09138975736736724
6,1,0.10417141742180361,0.10417141742180346,0.004966764456423282,0.0049667644564233195
6,2,0.059932822588198646,0.05993282258819862,0.012631968432280335,0.0126319684322803
6,3,0.15106513114671893,0.151065131146719,0.0197960353237759,0.019796035323775944
6,4,0.017144982417113038,0.017144982417113076,-0.0022499279472148023,-0.002249927947214883
6,5,0.1797271501362704,0.1797271501362704,0.007453422989729764,0.007453422989729765
6,6,0.07158963766238607,0.07158963766238624,0.011004991658983408,0.011004991658983429
6,7,0.2788369699954253,0.2788369699954254,0.02677098595760118,0.0267709859576011
7,0,0.3585122520616442,0.3585122520616444,0.04088619420249803,0.04088619420249809
7,1,0.2707560041486153,0.2707560041486154,0.012381495848231804,0.012381495848231856
7,2,0.5686683228019133,0.5686683228019134,-0.001864492284825965,-0.0018644922848259663
7,3,0.26714198559294733,0.26714198559294755,0.06088736823132958,0.06088736823132953
7,4,0.1600418543735047,0.16004185437350502,0.0023786636473543546,0.002378663647354359
7,5,0.11748327285757763,0.11748327285757772,0.025554990757859487,0.02555499075785949
7,6,0.16732310843305995,0.16732310843305995,-0.0023684765150303482,-0.0023684765150302827
7,7,0.17266535189229715,0.1726653518922973,-0.028372498846294076,-0.028372498846294034
8,0,0.16665623448968986,0.16665623448968972,0.06690965106859381,0.0669096510685938
8,1,0.17512774103541326,0.17512774103541306,0.04185045484794017,0.04185045484794024
8,2,0.449779218645074,0.4497792186450737,0.023919833960362808,0.02391983396036275
8,3,0.1030933342922165,0.10309333429221643,-0.005569029248292698,-0.005569029248292687
8,4,0.1638441114190356,0.16384411141903577,-6.806759017064499e-05,-6.806759017072392e-05
8,5,0.10820852762502964,0.10820852762502957,0.05605711680867261,0.056057116808672584
8,6,0.21912935012087728,0.21912935012087714,0.04400727325240096,0.04400727325240093
8,7,0.16273946641386713,0.16273946641386708,-0.0015160299606911726,-0.0015160299606912235
9,0,0.1103099137585249,0.11030991375852495,0.08474504095726944,0.08474504095726956
9,1,0.3075378432716725,0.3075378432716728,0.07468627277737899,0.07468627277737909
9,2,0.029557742636230917,0.02955774263623092,-0.008523838241167326,-0.008523838241167175
9,3,0.37978898142944223,0.3797889814294422,-0.01987855145459568,-0.019878551454595734
9,4,0.48105001573416545,0.48105001573416545,0.016841488252171445,0.016841488252171577
9,5,0.23433824445299922,0.2343382444529995,-0.001327538473366618,-0.0013275384733667283
9,6,0.14087282322461087,0.1408728232246109,0.15055966961603884,0.15055966961603878
9,7,0.0286390419071489,0.028639041907148943,0.03318691713992591,0.033186917139925984
10,0,0.31260315987801496,0.3126031598780146,0.019162824167985076,0.01916282416798528
10,1,0.16289419085006007,0.16289419085006002,0.036606224586037815,0.03660622458603767
10,2,0.20320322543188124,0.20320322543188135,0.02162122373473423,0.021621223734734112
10,3,0.2969614371519473,0.29696143715194734,0.029231221419205967,0.029231221419205842
10,4,0.4494858158169343,0.44948581581693414,0.4715925441283578,0.4715925441283577
10,5,0.2124438125547219,0.2124438125547217,0.06241254304513547,0.0624125430451356
10,6,0.021142625293355963,0.02114262529335591,-0.06421995659468543,-0.0642199565946856
10,7,0.04848720450450138,0.04848720450450126,0.19674090655184168,0.19674090655184154
11,0,0.039837814919010596,0.0398378149190106,0.0012981267164851266,0.0012981267164851452
11,1,0.1281966569284412,0.12819665692844143,0.0036186893159532788,0.0036186893159532592
11,2,0.03849685227300303,0.038496852273003056,-0.019660397873487282,-0.019660397873487244
11,3,0.08437561668470384,0.08437561668470392,0.07532745771694091,0.075327457716941
11,4,0.25292277739000935,0.25292277739000946,0.04999785772917595,0.04999785772917606
11,5,0.05137641393742839,0.05137641393742844,0.04244405177309479,0.04244405177309489
11,6,0.12877339989401537,0.1287733998940155,0.0021718729219365115,0.002171872921936536
11,7,0.02221903558973023,0.022219035589730186,-0.0022117686792338005,-0.0022117686792338274
12,0,0.2593618833820187,0.25936188338201865,0.007925145453093092,0.007925145453092933
12,1,0.07731654166036782,0.0773165416603679,0.007110842878094113,0.007110842878094058
12,2,0.31227094887945805,0.31227094887945805,0.009962741082090693,0.009962741082090831
12,3,0.15805807685576131,0.15805807685576115,0.016758727910646816,0.016758727910646774
12,4,0.24029632133456819,0.24029632133456805,0.15723660705941253,0.1572366070594125
12,5,0.10721309682787576,0.10721309682787569,-0.0024481251272596804,-0.002448125127259809
12,6,0.37368843109985184,0.3736884310998517,0.015272197537810336,0.015272197537810277
12,7,0.08577501185422091,0.08577501185422066,0.0180338224642652,0.018033822464265194
13,0,0.012008782340251193,0.012008782340251309,-0.001657966474113299,-0.0016579664741133062
13,1,0.27001584484781205,0.27001584484781227,0.005313926004818829,0.005313926004818804
13,2,0.32884871821501954,0.3288487182150198,0.015664274610878427,0.015664274610878437
13,3,0.050427902729436466,0.05042790272943653,0.008280776044598415,0.008280776044598414
13,4,0.22809999851025523,0.2280999985102552,0.013613009124338452,0.013613009124338457
13,5,0.16070698165374941,0.16070698165374953,0.006801041889865723,0.006801041889865733
13,6,0.2388760315653079,0.23887603156530776,-0.00815622485846056,-0.008156224858460591
13,7,0.06610236465064073,0.06610236465064087,0.0012241351820141974,0.0012241351820141953
14,0,0.18712550613980797,0.18712550613980802,0.0872631785671329,0.08726317856713293
14,1,0.17200782326115444,0.17200782326115469,0.02981280917187809,0.029812809171878084
14,2,0.12235517469440477,0.12235517469440468,0.060542132988956596,0.060542132988956554
14,3,0.5903914505604003,0.5903914505604002,0.06254320329330915,0.06254320329330923
14,4,0.1691631008562801,0.16916310085628028,0.04613580746072571,0.04613580746072572
14,5,0.575391245215974,0.5753912452159741,-0.04569611176333173,-0.04569611176333169
14,6,0.22212313896095762,0.22212313896095764,0.07292101884772499,0.07292101884772507
14,7,0.11635073737075523,0.11635073737075512,0.023936406488810374,0.023936406488810423
15,0,0.09625229280938273,0.09625229280938266,0.0012730893443364207,0.0012730893443364212
15,1,0.17874091606956583,0.1787409160695658,-0.00021173219614475719,-0.0002117321961447343
15,2,0.09628234469130913,0.09628234469130886,0.00020964079460657298,0.00020964079460659068
15,3,0.08594260077593671,0.0859426007759365,0.0012586812227250088,0.001258681222725013
15,4,0.3000226546726044,0.3000226546726044,-0.003890522702160072,-0.0038905227021600952
15,5,0.13766797513636567,0.13766797513636572,-0.0010034657953553567,-0.0010034657953553552
15,6,0.07149095492802598,0.07149095492802589,-0.0014293368549598774,-0.0014293368549598625
15,7,0.11156887313402976,0.11156887313402962,0.0019072514014571859,0.0019072514014571791
16,0,0.20924638997196904,0.20924638997196882,0.02183891123931824,0.02183891123931824
16,1,0.2449316342075486,0.24493163420754888,-0.000952088489177039,-0.0009520884891769704
16,2,0.06785490332177871,0.0678549033217785,0.01630722317008142,0.016307223170081455
16,3,0.3189905102829138,0.31899051028291364,0.04136808506102582,0.04136808506102584
16,4,0.10589573080036732,0.10589573080036724,0.008506484736325391,0.0085064847363255
16,5,0.07228519307322114,0.07228519307322111,0.0017137046070506128,0.0017137046070506495
16,6,0.3778723066349035,0.3778723066349035,0.00610725460961717,0.006107254609617202
16,7,0.31995417510062135,0.3199541751006213,0.02902253996268899,0.029022539962688974
17,0,0.22312439326724912,0.22312439326724906,0.03248393511416044,0.03248393511416043
17,1,0.10985583460709425,0.10985583460709414,-0.002418824921143778,-0.0024188249211437762
