scenario,level,epsilon,method,n,rmse_all_mean,rmse_all_std,rmse_plausible_mean,rmse_plausible_std,delta_rmse_all_mean,delta_rmse_all_std,delta_rmse_mean,delta_rmse_std,prediction_drift_mean,prediction_drift_std,p95_drift_mean,median_relative_error_mean,mean_corrupt_geom_weight,mean_corrupt_resid_weight,mean_corrupt_combined_weight,delta_rmse_all_ci95,delta_rmse_ci95,prediction_drift_ci95
mixed_amplitude,50.0,0.05,huber,10,0.3368514258275281,0.037098207972625245,0.33637733634659117,0.03631596498934581,0.07724890834769707,0.03236072420515691,0.07702497740148859,0.032123474441597036,0.23112690621298487,0.04895183152429319,0.45666268169003404,0.19933898504724104,1.0,0.38914947226273683,0.38914947226273683,0.020057384663284213,0.01991033573635583,0.03034065951770532
mixed_amplitude,50.0,0.05,ridge,10,0.43980667726809963,0.03325588977975618,0.4396098581470932,0.033074076785511324,0.18142985809046797,0.02714922582613268,0.1814540069491398,0.027178639522134097,0.36758707499231613,0.03423236310429195,0.7373678246803419,0.2747263914138344,1.0,1.0,1.0,0.016827264502885773,0.016845495300544352,0.02121743847149704
nominal_raw,0.0,0.0,bgr,10,0.2594409045723134,0.014805640385603258,0.2593754249355852,0.014830849629223538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13190366122014416,,,,0.0,0.0,0.0
nominal_raw,0.0,0.0,geometry,10,0.2581049068783553,0.014465767368138533,0.25807023328847667,0.014494693639564678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13269916111754593,,,,0.0,0.0,0.0
nominal_raw,0.0,0.0,huber,10,0.25960251747983104,0.0144618860724631,0.25935235894510256,0.014484177399518097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133083383393448,,,,0.0,0.0,0.0
nominal_raw,0.0,0.0,ridge,10,0.2583768191776317,0.014068976669644032,0.25815585119795337,0.014121643653168443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13443125100519185,,,,0.0,0.0,0.0
realistic_cells,1.0,0.05,bgr,10,0.2607474061847332,0.015564421260407626,0.2602759394215818,0.015654051181063118,0.0013065016124197942,0.001999195629868099,0.0009005144859966369,0.0023459653759593225,0.034228052705425636,0.009399969247400119,0.06711975623300534,0.1341147773038778,0.3498248167297035,0.5884028671004609,0.23590738338404377,0.0012391142890130756,0.0014540444043852367,0.005826161300435341
realistic_cells,1.0,0.05,geometry,10,0.26028995529639404,0.01582661194990336,0.2600738130209465,0.015899226911629413,0.0021850484180386985,0.003176717762187493,0.0020035797324698566,0.0033646824209736417,0.04494461124811471,0.008787998611088478,0.08960785099174602,0.13622080157479188,0.3498248167297035,1.0,0.3498248167297035,0.001968950067957017,0.0020854517704676162,0.005446857970345425
realistic_cells,1.0,0.05,huber,10,0.2596523651577997,0.015346324335598587,0.2596599201399542,0.015336366529136761,4.9847677968678504e-05,0.0027402312354185294,0.0003075611948516632,0.002291441138068837,0.025052628437058855,0.005709830220553187,0.047939561102764414,0.13478704344773018,1.0,0.8489705310703114,0.8489705310703114,0.0016984129158140841,0.0014202499316191544,0.0035389894357626874
realistic_cells,1.0,0.05,ridge,10,0.2603679500760763,0.01633692137316395,0.2603720424026613,0.016321840395664502,0.0019911308984445902,0.004499069388105185,0.0022161912047078984,0.004120672508916029,0.04255854208840692,0.008556898856492705,0.07913872267975253,0.1371660325906332,1.0,1.0,1.0,0.002788552097040279,0.002554019281483768,0.005303620858464617
vertical_amplitude,4.0,0.05,bgr,10,0.2608211990580943,0.014654904456283183,0.26051766112637587,0.01468397680580198,0.0013802944857809363,0.0008830473283407679,0.0011422361907906797,0.0006952941100150916,0.02313942155037132,0.0022748741964413524,0.04144818197332069,0.1324371817666173,0.991919160807288,0.0902529723871983,0.08951745765478089,0.0005473184044995429,0.00043094775414408636,0.0014099816348155964
vertical_amplitude,4.0,0.05,geometry,10,0.3197719711471651,0.01677695522464068,0.3168780034737096,0.013511152288644761,0.06166706426880978,0.013315484399897565,0.05880777018523291,0.008024141474854286,0.1843445734877382,0.015987171450290615,0.34331842055703676,0.17451225609101906,0.991919160807288,1.0,0.991919160807288,0.008253022735014858,0.004973414412280603,0.009908951524801
vertical_amplitude,4.0,0.05,huber,10,0.26092201668106313,0.014317663335566413,0.2605045931515859,0.014341009165428525,0.0013194992012320744,0.0007539110171508121,0.0011522342064833407,0.0006755480528905792,0.022793469817379557,0.0022082862523970987,0.04097942926970698,0.13296769735012795,1.0,0.09025559321395148,0.09025559321395148,0.00046727888958900327,0.00041870902114112056,0.0013687099995096101
vertical_amplitude,4.0,0.05,ridge,10,0.31751426222087453,0.013680461784070348,0.3156046235694213,0.012543189884904358,0.059137443043242824,0.009293155885396283,0.05744877237146797,0.008322277059620846,0.18156107221010037,0.015830499563178817,0.33689315080217314,0.17364269778659575,1.0,1.0,1.0,0.005759957692774788,0.005158200762164674,0.009811845283117349
