seed,family,rank,q,ky,nominal_ratio,ridge_rmse,rmse,alpha,kx,scale
7101,huber,0,1.0,1.5,1.0127973106993675,0.6356810286235387,0.6438160362525277,0.001,inf,0.5921796834292912
7101,huber,1,1.0,2.0,1.0010058390710945,0.6356810286235387,0.6363204214388818,0.001,inf,0.5921796834292912
7101,huber,2,1.0,3.0,0.9999678508486064,0.6356810286235387,0.6356605920179115,0.001,inf,0.5921796834292912
7101,huber,3,1.0,4.0,1.0,0.6356810286235387,0.6356810286235387,0.001,inf,0.5921796834292912
7101,huber,4,1.0,6.0,1.0,0.6356810286235387,0.6356810286235387,0.001,inf,0.5921796834292912
7101,geometry,0,0.9,1000000000.0,1.204710429701592,0.6356810286235387,0.7658115651462134,0.001,3.353279044771003,0.5921796834292912
7101,geometry,1,0.95,1000000000.0,1.0279314853238894,0.6356810286235387,0.653436543945212,0.001,6.4261223217064884,0.5921796834292912
7101,geometry,2,0.975,1000000000.0,1.0160372708869922,0.6356810286235387,0.6458756174772963,0.001,7.055351849750378,0.5921796834292912
7101,geometry,3,0.99,1000000000.0,1.0008021278327932,0.6356810286235387,0.6361909260693762,0.001,8.456884478555803,0.5921796834292912
7101,geometry,4,1.0,1000000000.0,1.0,0.6356810286235387,0.6356810286235387,0.001,8.738575119211035,0.5921796834292912
7101,bgr,0,0.9,1.5,1.374113040129862,0.6356810286235387,0.8734975907947686,0.001,3.353279044771003,0.5921796834292912
7101,bgr,1,0.9,2.0,1.3268932569339262,0.6356810286235387,0.8434808704413956,0.001,3.353279044771003,0.5921796834292912
7101,bgr,2,0.95,2.0,1.0481815753953014,0.6356810286235387,0.6663091420315265,0.001,6.4261223217064884,0.5921796834292912
7101,bgr,3,0.95,3.0,1.0279314853238894,0.6356810286235387,0.653436543945212,0.001,6.4261223217064884,0.5921796834292912
7101,bgr,4,0.975,3.0,1.0160372708869922,0.6356810286235387,0.6458756174772963,0.001,7.055351849750378,0.5921796834292912
7101,bgr,5,0.99,4.0,1.0008021278327932,0.6356810286235387,0.6361909260693762,0.001,8.456884478555803,0.5921796834292912
7101,bgr,6,1.0,6.0,1.0,0.6356810286235387,0.6356810286235387,0.001,8.738575119211035,0.5921796834292912
7101,schweppe_type,0,0.9,1.5,1.1347753111207504,0.6356810286235387,0.7213551370298348,0.001,3.353279044771003,0.5921796834292912
7101,schweppe_type,1,0.9,2.0,1.1003096454789458,0.6356810286235387,0.6994459672424574,0.001,3.353279044771003,0.5921796834292912
7101,schweppe_type,2,0.95,2.0,1.0207691885814538,0.6356810286235387,0.6488836077846736,0.001,6.4261223217064884,0.5921796834292912
7101,schweppe_type,3,0.95,3.0,0.9999678508486064,0.6356810286235387,0.6356605920179115,0.001,6.4261223217064884,0.5921796834292912
7101,schweppe_type,4,0.975,3.0,0.9999678508486064,0.6356810286235387,0.6356605920179115,0.001,7.055351849750378,0.5921796834292912
7101,schweppe_type,5,0.99,4.0,1.0,0.6356810286235387,0.6356810286235387,0.001,8.456884478555803,0.5921796834292912
7101,schweppe_type,6,1.0,6.0,1.0,0.6356810286235387,0.6356810286235387,0.001,8.738575119211035,0.5921796834292912
7202,huber,0,1.0,1.5,0.9934362809339143,0.7337506652225025,0.7289345319914285,0.01,inf,0.6444045414402527
7202,huber,1,1.0,2.0,0.9971445043066269,0.7337506652225025,0.7316554433579501,0.01,inf,0.6444045414402527
7202,huber,2,1.0,3.0,1.0,0.7337506652225025,0.7337506652225025,0.01,inf,0.6444045414402527
7202,huber,3,1.0,4.0,1.0,0.7337506652225025,0.7337506652225025,0.01,inf,0.6444045414402527
7202,huber,4,1.0,6.0,1.0,0.7337506652225025,0.7337506652225025,0.01,inf,0.6444045414402527
7202,geometry,0,0.9,1000000000.0,1.0269138393024966,0.7337506652225025,0.7534987127144009,0.01,4.069209183102307,0.6444045414402527
7202,geometry,1,0.95,1000000000.0,1.0036000191200631,0.7337506652225025,0.7363921816466625,0.01,5.728029272777967,0.6444045414402527
7202,geometry,2,0.975,1000000000.0,0.999045405775694,0.7337506652225025,0.7330502310754005,0.01,7.218783982730827,0.6444045414402527
7202,geometry,3,0.99,1000000000.0,0.9998534686130816,0.7337506652225025,0.7336431477198752,0.01,8.408930161006635,0.6444045414402527
