seed,corruption_magnitude,method,test_mse_standardized,test_rmse_dollars
4,0.75,ridge_donnees_propres,0.3984361312357345,72856.04881488961
5,0.75,ridge_contamine,0.4216011577917664,74352.13582465498
5,0.75,ridge_huber_global,0.4325123393154889,75308.11933616012
5,0.75,ridge_huber_local_geometrique,0.4326914009431446,75323.70663598854
5,0.75,ridge_oracle_exclusion,0.422117607624598,74397.66154858808
5,0.75,ridge_donnees_propres,0.4211935297511944,74316.18318991791
6,0.75,ridge_contamine,0.4263491871921059,74979.68610479223
6,0.75,ridge_huber_global,0.5120461846891389,82170.41219162487
6,0.75,ridge_huber_local_geometrique,0.4994334821348078,81152.09302644654
6,0.75,ridge_oracle_exclusion,0.4249272575974558,74854.5482121723
6,0.75,ridge_donnees_propres,0.4224283879886847,74634.12511311779
7,0.75,ridge_contamine,0.3949825082625238,72302.61556598508
7,0.75,ridge_huber_global,0.395294776772932,72331.19071667
7,0.75,ridge_huber_local_geometrique,0.3949652092456738,72301.03223275639
7,0.75,ridge_oracle_exclusion,0.3951401909019726,72317.04624253782
7,0.75,ridge_donnees_propres,0.3952440541168834,72326.54994221019
8,0.75,ridge_contamine,0.3737079654559112,71392.73266080109
8,0.75,ridge_huber_global,0.3731806592515311,71342.3469005121
8,0.75,ridge_huber_local_geometrique,0.373110581746156,71335.64809618876
8,0.75,ridge_oracle_exclusion,0.3738154177929296,71402.99570751812
8,0.75,ridge_donnees_propres,0.3739776904163156,71418.49198416338
9,0.75,ridge_contamine,0.4168443447190208,74607.94222779103
9,0.75,ridge_huber_global,0.5347887055065947,84506.32550815654
9,0.75,ridge_huber_local_geometrique,0.557390040742892,86273.55762182637
9,0.75,ridge_oracle_exclusion,0.4149261209683975,74436.07981207542
9,0.75,ridge_donnees_propres,0.4114623296959384,74124.73355083524
0,1.5,ridge_contamine,0.3983196126225682,72791.27875411905
0,1.5,ridge_huber_global,0.396607729992547,72634.6905566155
0,1.5,ridge_huber_local_geometrique,0.3986844488439557,72824.60728717734
0,1.5,ridge_oracle_exclusion,0.3982422700186393,72784.2113888912
0,1.5,ridge_donnees_propres,0.3986423316502665,72820.76057443515
1,1.5,ridge_contamine,0.4012498344949526,73199.03700773878
1,1.5,ridge_huber_global,0.4012793701367829,73201.73101602192
1,1.5,ridge_huber_local_geometrique,0.4012286923159069,73197.10852403638
1,1.5,ridge_oracle_exclusion,0.4011771863939591,73192.41019907818
1,1.5,ridge_donnees_propres,0.4009488921356777,73171.58176539693
10,1.5,ridge_contamine,0.4014567388069598,72913.25171141475
10,1.5,ridge_huber_global,0.4043236275889558,73173.13316353298
10,1.5,ridge_huber_local_geometrique,0.4027273519813598,73028.54601326653
10,1.5,ridge_oracle_exclusion,0.4017621857336834,72940.98433100215
10,1.5,ridge_donnees_propres,0.4009243913394598,72864.89275103685
11,1.5,ridge_contamine,0.4104373798296161,73985.47552234499
11,1.5,ridge_huber_global,0.5245981242724369,83644.30615023818
11,1.5,ridge_huber_local_geometrique,0.411021159904412,74038.07294809954
11,1.5,ridge_oracle_exclusion,0.4104518214827535,73986.77713768091
11,1.5,ridge_donnees_propres,0.4104307763437528,73984.88034750122
12,1.5,ridge_contamine,0.4032522117300936,73057.0288798529
12,1.5,ridge_huber_global,0.4023022615906237,72970.92711393644
12,1.5,ridge_huber_local_geometrique,0.4023158416006877,72972.15869732137
12,1.5,ridge_oracle_exclusion,0.4033326991560024,73064.31945215851
12,1.5,ridge_donnees_propres,0.4034660558933464,73076.39733973308
13,1.5,ridge_contamine,0.3850521490548778,71523.99659755209
13,1.5,ridge_huber_global,0.3852828828740333,71545.42295942771
13,1.5,ridge_huber_local_geometrique,0.3853479306574346,71551.46225544858
13,1.5,ridge_oracle_exclusion,0.3848531746994547,71505.5143216548
13,1.5,ridge_donnees_propres,0.3849772845905439,71517.04316799654
14,1.5,ridge_contamine,0.3923477963813195,72614.94066939541
14,1.5,ridge_huber_global,0.4724566594110866,79684.04378166542
14,1.5,ridge_huber_local_geometrique,0.391689756006011,72554.0207208749
14,1.5,ridge_oracle_exclusion,0.391450533074156,72531.86129978436
14,1.5,ridge_donnees_propres,0.3899805091622274,72395.54284904136
15,1.5,ridge_contamine,0.3831656824092321,71265.16074834745
15,1.5,ridge_huber_global,0.3810800990269956,71070.94680533573
15,1.5,ridge_huber_local_geometrique,0.3831435726564412,71263.10461716232
15,1.5,ridge_oracle_exclusion,0.3831953554922251,71267.9201500727
15,1.5,ridge_donnees_propres,0.3841077199838439,71352.7119687618
16,1.5,ridge_contamine,0.3896215765690332,72242.92359676005
16,1.5,ridge_huber_global,0.4901640266444704,81029.75596321488
16,1.5,ridge_huber_local_geometrique,0.4910963201904655,81106.77878366939
16,1.5,ridge_oracle_exclusion,0.388216485213453,72112.5412002504
16,1.5,ridge_donnees_propres,0.3859906913486616,71905.51962496928
17,1.5,ridge_contamine,0.3999471173230174,72791.83806442346
17,1.5,ridge_huber_global,0.3981226402826482,72625.61753474474
17,1.5,ridge_huber_local_geometrique,0.398397736622326,72650.70476845402
17,1.5,ridge_oracle_exclusion,0.4002437565261468,72818.82777073985
17,1.5,ridge_donnees_propres,0.4008239569630378,72871.58838808129
18,1.5,ridge_contamine,0.4091894024765263,74105.35651642553
18,1.5,ridge_huber_global,0.4100832580667183,74186.25224827559
18,1.5,ridge_huber_local_geometrique,0.4093994255839865,74124.37196572007
18,1.5,ridge_oracle_exclusion,0.4085655832032717,74048.84725461101
18,1.5,ridge_donnees_propres,0.40728653712701,73932.84858340284
19,1.5,ridge_contamine,0.3927280762791163,72196.68438426802
19,1.5,ridge_huber_global,0.5208347794017435,83142.15300467434
19,1.5,ridge_huber_local_geometrique,0.3934541228640565,72263.3895105028
19,1.5,ridge_oracle_exclusion,0.3928657783327606,72209.34041906898
19,1.5,ridge_donnees_propres,0.3920107869387179,72130.72324897937
2,1.5,ridge_contamine,0.4097274559799291,73605.58533091703
2,1.5,ridge_huber_global,0.4091429107646007,73553.06120916278
2,1.5,ridge_huber_local_geometrique,0.4089897699093365,73539.29458554619
2,1.5,ridge_oracle_exclusion,0.4095103832939102,73586.08471082561
2,1.5,ridge_donnees_propres,0.4096140356717757,73595.39691679599
3,1.5,ridge_contamine,0.4077943977522434,73906.86533580997
3,1.5,ridge_huber_global,0.4117358313542489,74263.17051799712
3,1.5,ridge_huber_local_geometrique,0.4080351516882458,73928.67870963867
3,1.5,ridge_oracle_exclusion,0.4081046201348857,73934.97166243859
3,1.5,ridge_donnees_propres,0.4066818109029816,73805.97629817524
4,1.5,ridge_contamine,0.4007138670516238,73063.99976065641
4,1.5,ridge_huber_global,0.4026592493058256,73241.14026644849
4,1.5,ridge_huber_local_geometrique,0.4019032312575072,73172.35053993549
4,1.5,ridge_oracle_exclusion,0.4013730417140779,73124.07023862729
4,1.5,ridge_donnees_propres,0.3984361312357345,72856.04881488961
5,1.5,ridge_contamine,0.4218246211553387,74371.83783093088
5,1.5,ridge_huber_global,0.4320852751700192,75270.93040801039
5,1.5,ridge_huber_local_geometrique,0.431146276026685,75189.09727835904
5,1.5,ridge_oracle_exclusion,0.4221126178530854,74397.22182702404
5,1.5,ridge_donnees_propres,0.4211935297511944,74316.18318991791
6,1.5,ridge_contamine,0.4259273568183664,74942.58443179075
6,1.5,ridge_huber_global,0.4994196071497663,81150.96575731302
6,1.5,ridge_huber_local_geometrique,0.4841115474120129,79897.57888895279
6,1.5,ridge_oracle_exclusion,0.4250972573722243,74869.5201675149
6,1.5,ridge_donnees_propres,0.4224283879886847,74634.12511311779
7,1.5,ridge_contamine,0.3958610301308437,72382.97880582316
7,1.5,ridge_huber_global,0.3962372027959572,72417.36212531838
7,1.5,ridge_huber_local_geometrique,0.3956823696455525,72366.64297508425
7,1.5,ridge_oracle_exclusion,0.3953749151357295,72338.52221937555
7,1.5,ridge_donnees_propres,0.3952440541168834,72326.54994221019
8,1.5,ridge_contamine,0.3734106832904652,71364.33079269942
8,1.5,ridge_huber_global,0.3728368554111515,71309.47619288342
8,1.5,ridge_huber_local_geometrique,0.3728010500041012,71306.05200601957
8,1.5,ridge_oracle_exclusion,0.3735804417684841,71380.55063341497
8,1.5,ridge_donnees_propres,0.3739776904163156,71418.49198416338
9,1.5,ridge_contamine,0.4181375885756985,74723.58676487392
9,1.5,ridge_huber_global,0.5259835429101314,83807.75032542739
9,1.5,ridge_huber_local_geometrique,0.517108687724373,83097.70355419935
9,1.5,ridge_oracle_exclusion,0.4137803657563551,74333.23682477167
9,1.5,ridge_donnees_propres,0.4114623296959384,74124.73355083524
0,3.0,ridge_contamine,0.3983536040298486,72794.38458313118
0,3.0,ridge_huber_global,0.3968440556792845,72656.32766238484
0,3.0,ridge_huber_local_geometrique,0.3987943575078347,72834.64467858741
0,3.0,ridge_oracle_exclusion,0.3986315063647679,72819.77182987315
0,3.0,ridge_donnees_propres,0.3986423316502665,72820.76057443515
1,3.0,ridge_contamine,0.4023235573943405,73296.90991186399
1,3.0,ridge_huber_global,0.4020869898391453,73275.35733290385
1,3.0,ridge_huber_local_geometrique,0.4018331225506373,73252.22160118764
1,3.0,ridge_oracle_exclusion,0.4014169445853416,73214.27816586045
1,3.0,ridge_donnees_propres,0.4009488921356777,73171.58176539693
10,3.0,ridge_contamine,0.4028214136142445,73037.07384630776
10,3.0,ridge_huber_global,0.406728508362704,73390.42416139248
10,3.0,ridge_huber_local_geometrique,0.4033275130660238,73082.94084691358
10,3.0,ridge_oracle_exclusion,0.4025095866473674,73008.79911003097
10,3.0,ridge_donnees_propres,0.4009243913394598,72864.89275103685
11,3.0,ridge_contamine,0.4112131028080412,74055.35846203977
11,3.0,ridge_huber_global,0.5265655098095062,83801.00381313672
11,3.0,ridge_huber_local_geometrique,0.4111824243696814,74052.59597087702
11,3.0,ridge_oracle_exclusion,0.4102223215171249,73966.08976814269
11,3.0,ridge_donnees_propres,0.4104307763437528,73984.88034750122
12,3.0,ridge_contamine,0.4033111432664893,73062.36698531834
12,3.0,ridge_huber_global,0.4027163590627468,73008.47264572317
12,3.0,ridge_huber_local_geometrique,0.4027780844420618,73014.06753018626
12,3.0,ridge_oracle_exclusion,0.403544485321098,73083.49962435068
12,3.0,ridge_donnees_propres,0.4034660558933464,73076.39733973308
13,3.0,ridge_contamine,0.3848768536075617,71507.71405205964
13,3.0,ridge_huber_global,0.3852274793584138,71540.27867370218
13,3.0,ridge_huber_local_geometrique,0.3849982257146433,71518.98825277206
13,3.0,ridge_oracle_exclusion,0.3849468744361063,71514.21847240374
13,3.0,ridge_donnees_propres,0.3849772845905439,71517.04316799654
14,3.0,ridge_contamine,0.392140846264953,72595.78718780442
14,3.0,ridge_huber_global,0.4622931671077486,78822.30217062656
14,3.0,ridge_huber_local_geometrique,0.4505026170584857,77810.6488958183
14,3.0,ridge_oracle_exclusion,0.391427796183916,72529.75481023101
14,3.0,ridge_donnees_propres,0.3899805091622274,72395.54284904136
15,3.0,ridge_contamine,0.3832514691207182,71273.13805674222
15,3.0,ridge_huber_global,0.3808828482154129,71052.55091361872
15,3.0,ridge_huber_local_geometrique,0.3809145492012906,71055.50771392866
15,3.0,ridge_oracle_exclusion,0.382887948268364,71239.3281163356
15,3.0,ridge_donnees_propres,0.3841077199838439,71352.7119687618
16,3.0,ridge_contamine,0.3913187926359379,72400.09997227143
16,3.0,ridge_huber_global,0.4907000600227711,81074.05010063342
16,3.0,ridge_huber_local_geometrique,0.4807266827358022,80245.91392037367
16,3.0,ridge_oracle_exclusion,0.3876300974059343,72058.05884765794
16,3.0,ridge_donnees_propres,0.3859906913486616,71905.51962496928
17,3.0,ridge_contamine,0.4000374068984893,72800.05411722267
17,3.0,ridge_huber_global,0.3983293820152789,72644.47202294972
17,3.0,ridge_huber_local_geometrique,0.398964397234137,72702.35373694883
17,3.0,ridge_oracle_exclusion,0.4007116476495869,72861.37850504859
17,3.0,ridge_donnees_propres,0.4008239569630378,72871.58838808129
18,3.0,ridge_contamine,0.4127548330079192,74427.51104303583
18,3.0,ridge_huber_global,0.4140653552863967,74545.57339288548
18,3.0,ridge_huber_local_geometrique,0.4118278849190968,74343.89092385706
18,3.0,ridge_oracle_exclusion,0.4098807476211475,74167.93237552496
18,3.0,ridge_donnees_propres,0.40728653712701,73932.84858340284
19,3.0,ridge_contamine,0.3926067762875836,72185.53400560128
19,3.0,ridge_huber_global,0.5242397887772484,83413.48532507167
19,3.0,ridge_huber_local_geometrique,0.3930468970807846,72225.98345473706
19,3.0,ridge_oracle_exclusion,0.3924924567560774,72175.02372185608
19,3.0,ridge_donnees_propres,0.3920107869387179,72130.72324897937
2,3.0,ridge_contamine,0.4104836861863787,73673.48059371814
2,3.0,ridge_huber_global,0.4103369941185825,73660.31529472757
2,3.0,ridge_huber_local_geometrique,0.4100248997879926,73632.29766528418
2,3.0,ridge_oracle_exclusion,0.4098442179872205,73616.07245297899
2,3.0,ridge_donnees_propres,0.4096140356717757,73595.39691679599
3,3.0,ridge_contamine,0.4137102811407602,74441.01942395026
3,3.0,ridge_huber_global,0.416595487044504,74700.14339906414
3,3.0,ridge_huber_local_geometrique,0.4121691635037398,74302.23944784608
3,3.0,ridge_oracle_exclusion,0.4094976950536114,74061.0535586187
3,3.0,ridge_donnees_propres,0.4066818109029816,73805.97629817524
4,3.0,ridge_contamine,0.4013163217093434,73118.90329451446
4,3.0,ridge_huber_global,0.3994152355484822,72945.51096014003
4,3.0,ridge_huber_local_geometrique,0.3987363343938198,72883.49047487552
4,3.0,ridge_oracle_exclusion,0.4013618101780113,73123.04712385315
4,3.0,ridge_donnees_propres,0.3984361312357345,72856.04881488961
5,3.0,ridge_contamine,0.4222267934563267,74407.28285457834
5,3.0,ridge_huber_global,0.4315546116202829,75224.69438346408
5,3.0,ridge_huber_local_geometrique,0.4311614802158857,75190.42302236528
5,3.0,ridge_oracle_exclusion,0.4222801952785956,74411.98809702837
5,3.0,ridge_donnees_propres,0.4211935297511944,74316.18318991791
