family,variant,scenario,n,rmse_mean,rmse_std,delta_rmse_mean,delta_rmse_std,kappa_x_mean,scale_mean,mean_corrupt_weight
huber_scale,huber_geometry_anchored_scale,nominal,5,0.2650730251519989,0.013139415765643148,0.0,0.0,inf,0.17736388343733062,
huber_scale,huber_geometry_anchored_scale,vertical,5,0.2660904036540576,0.013512684723569628,0.00101737850205873,0.0007375799275747492,inf,0.17736388343733062,0.08984620597568038
huber_scale,huber_pure,nominal,5,0.2660697336898402,0.012678226689814928,0.0,0.0,inf,0.17895189014890014,
huber_scale,huber_pure,vertical,5,0.26681995151428983,0.013008759976252327,0.0007502178244496394,0.0007285783636173033,inf,0.17895189014890014,0.06791548870265333
kappa_x,line,leverage,5,0.26501805307476717,0.013110422268881542,-0.0001466088625550088,0.0006942956401376101,3.6765328119872622,0.17736388343733062,0.0026284593968337643
kappa_x,line,mixed,5,0.2651045731725862,0.013246959664062972,-6.0088764735999336e-05,0.000646289099017113,3.6765328119872622,0.17736388343733062,0.0004994632722400748
kappa_x,line,nominal,5,0.2651646619373222,0.01361595269377958,0.0,0.0,3.6765328119872622,0.17736388343733062,
kappa_x,line,vertical,5,0.2662018323616498,0.014058248940456637,0.0010371704243275937,0.0007256900070089095,3.6765328119872622,0.17736388343733062,0.0891410599526317
kappa_x,per_id,leverage,5,0.2652069309957347,0.013081258430099383,-0.00010461730217312671,0.0006479901958175683,3.273484183291187,0.1760889144350874,0.0020161458966459793
kappa_x,per_id,mixed,5,0.2653035228294859,0.013208944610170853,-8.025468421968274e-06,0.000564789317181142,3.273484183291187,0.1760889144350874,0.00039232221863971204
kappa_x,per_id,nominal,5,0.2653115482979079,0.013541856169742314,0.0,0.0,3.273484183291187,0.1760889144350874,
kappa_x,per_id,vertical,5,0.2663296701200361,0.013937357949051135,0.0010181218221282594,0.0007356707562868349,3.273484183291187,0.1760889144350874,0.08768147434707413
kappa_x,pi_weighted,leverage,5,0.2652069950397067,0.013081382015894294,-0.00010462902859970091,0.0006480063634229176,3.2735367528929635,0.1760870624287327,0.0020161975100159556
kappa_x,pi_weighted,mixed,5,0.2653035927414786,0.013209080671758045,-8.031326827817598e-06,0.0005647937702029072,3.2735367528929635,0.1760870624287327,0.00039233197345588875
kappa_x,pi_weighted,nominal,5,0.2653116240683064,0.013542002409663327,0.0,0.0,3.2735367528929635,0.1760870624287327,
kappa_x,pi_weighted,vertical,5,0.2663297221700436,0.01393746013942444,0.0010180981017371637,0.000735631192630086,3.2735367528929635,0.1760870624287327,0.08768088932519105
