seed,scenario,level,method,rmse,delta_rmse,mean_corrupt_geom_weight,mean_corrupt_resid_weight,mean_corrupt_combined_weight
8101,nominal,0.0,ridge,0.5431613839992039,0.0,,,
8101,vertical,4.0,ridge,0.5418571582631249,-0.0013042257360790233,1.0,1.0,1.0
8101,leverage,50.0,ridge,0.8879152400363092,0.3447538560371053,1.0,1.0,1.0
8101,mixed,50.0,ridge,0.8265864178588023,0.2834250338595984,1.0,1.0,1.0
8101,gaussian,0.4,ridge,0.537773228431898,-0.0053881555673058745,1.0,1.0,1.0
8101,nominal,0.0,huber,0.5390401955814441,0.0,,,
8101,vertical,4.0,huber,0.5362699853896841,-0.0027702101917600475,1.0,0.30141060965089933,0.30141060965089933
8101,leverage,50.0,huber,0.8619854869209146,0.3229452913394705,1.0,0.8521310075749081,0.8521310075749081
8101,mixed,50.0,huber,0.7914394102594157,0.25239921467797155,1.0,0.6631983410092014,0.6631983410092014
8101,gaussian,0.4,huber,0.5366518596522754,-0.002388335929168761,1.0,0.9777396370842288,0.9777396370842288
8101,nominal,0.0,geometry,0.5430924225166374,0.0,,,
8101,vertical,4.0,geometry,0.5417917477850903,-0.0013006747315470468,1.0,1.0,1.0
8101,leverage,50.0,geometry,0.7275433671428186,0.18445094462618128,0.10385633561427292,1.0,0.10385633561427292
8101,mixed,50.0,geometry,0.7056162730031746,0.16252385048653728,0.10385633561427292,1.0,0.10385633561427292
8101,gaussian,0.4,geometry,0.5376956111361292,-0.005396811380508182,0.9998544596575272,1.0,0.9998544596575272
8101,nominal,0.0,schweppe_type,0.5497406597177193,0.0,,,
8101,vertical,4.0,schweppe_type,0.5467143327772185,-0.0030263269405008675,1.0,0.4529081843317476,0.45290818389170107
8101,leverage,50.0,schweppe_type,0.5449919110766158,-0.0047487486411035285,0.007738706972640731,0.27614549316462805,0.07787744749726845
8101,mixed,50.0,schweppe_type,0.549533608130525,-0.00020705158719436234,0.007738706972640731,0.319858971639021,0.07506605438337767
8101,gaussian,0.4,schweppe_type,0.5486837997709362,-0.001056859946783173,0.9647146533081847,0.9932983106295223,0.9809084119661601
8101,nominal,0.0,bgr,0.5430924225166374,0.0,,,
8101,vertical,4.0,bgr,0.541711989591653,-0.0013804329249843539,1.0,0.6058678281561284,0.6058678281561284
8101,leverage,50.0,bgr,0.5779502768522401,0.034857854335602734,0.10385633561427292,0.520870981141843,0.05404073728827439
8101,mixed,50.0,bgr,0.5757312339157897,0.03263881139915237,0.10385633561427292,0.4653181918621382,0.048532674030140506
8101,gaussian,0.4,bgr,0.5376956111361292,-0.005396811380508182,0.9998544596575272,1.0,0.9998544596575272
8202,nominal,0.0,ridge,0.5762138799532751,0.0,,,
8202,vertical,4.0,ridge,0.5816127590287503,0.005398879075475205,1.0,1.0,1.0
8202,leverage,50.0,ridge,0.9366287769355732,0.3604148969822981,1.0,1.0,1.0
8202,mixed,50.0,ridge,0.9623384772356557,0.3861245972823806,1.0,1.0,1.0
8202,gaussian,0.4,ridge,0.5773251629457502,0.0011112829924750933,1.0,1.0,1.0
8202,nominal,0.0,huber,0.5762891407441384,0.0,,,
8202,vertical,4.0,huber,0.5818185219400255,0.005529381195887084,1.0,0.31700122950103493,0.31700122950103493
8202,leverage,50.0,huber,0.9326181882684138,0.3563290475242754,1.0,0.9242988244863056,0.9242988244863056
8202,mixed,50.0,huber,0.9134014614348515,0.33711232069071306,1.0,0.7562340955652832,0.7562340955652832
8202,gaussian,0.4,huber,0.577414333174153,0.001125192430014632,1.0,0.9789751949415416,0.9789751949415416
8202,nominal,0.0,geometry,0.5760428283146617,0.0,,,
8202,vertical,4.0,geometry,0.5814216710242667,0.005378842709604981,0.9961881457084143,1.0,0.9961881457084143
8202,leverage,50.0,geometry,0.6532433674449624,0.07720053913030067,0.019207695012773328,1.0,0.019207695012773328
8202,mixed,50.0,geometry,0.6510532311570651,0.07501040284240346,0.019207695012773328,1.0,0.019207695012773328
8202,gaussian,0.4,geometry,0.5766619421264224,0.0006191138117607187,0.999105867976535,1.0,0.999105867976535
8202,nominal,0.0,schweppe_type,0.5804954532266944,0.0,,,
8202,vertical,4.0,schweppe_type,0.5919379491501832,0.011442495923488782,0.9462755005769098,0.47636745572354466,0.4629351550705736
8202,leverage,50.0,schweppe_type,0.6098035515067967,0.02930809828010228,0.004872205679573633,0.32431042860680964,0.06791580108459905
8202,mixed,50.0,schweppe_type,0.6075225027732686,0.0270270495465742,0.004872205679573633,0.3050458711979944,0.10200880967926695
8202,gaussian,0.4,schweppe_type,0.5835835579385096,0.0030881047118151983,0.9808466828432288,0.9955843615078763,0.9891035385640324
8202,nominal,0.0,bgr,0.5760428283146617,0.0,,,
8202,vertical,4.0,bgr,0.5818644552003892,0.0058216268857275155,0.9961881457084143,0.6342208540845379,0.6323613683016104
8202,leverage,50.0,bgr,0.5860978182085286,0.010054989893866884,0.019207695012773328,0.2629543514863845,0.0050446355193536725
8202,mixed,50.0,bgr,0.5850007027666067,0.008957874451944958,0.019207695012773328,0.24680073245521802,0.004732605852134103
8202,gaussian,0.4,bgr,0.5766073235636899,0.0005644952490282407,0.999105867976535,0.999905720381387,0.9990236093592886
8303,nominal,0.0,ridge,0.6564036287008495,0.0,,,
8303,vertical,4.0,ridge,0.6816976558182298,0.02529402711738038,1.0,1.0,1.0
8303,leverage,50.0,ridge,0.947810551153389,0.2914069224525395,1.0,1.0,1.0
8303,mixed,50.0,ridge,0.9828347557340185,0.326431127033169,1.0,1.0,1.0
8303,gaussian,0.4,ridge,0.6596190225578861,0.003215393857036619,1.0,1.0,1.0
8303,nominal,0.0,huber,0.6475892885437954,0.0,,,
8303,vertical,4.0,huber,0.6569397855626294,0.009350497018834059,1.0,0.29639737908149427,0.29639737908149427
8303,leverage,50.0,huber,0.9281945176134737,0.28060522906967833,1.0,0.9006355434171577,0.9006355434171577
8303,mixed,50.0,huber,0.9239746187504132,0.2763853302066178,1.0,0.6723232342919625,0.6723232342919625
8303,gaussian,0.4,huber,0.6548391739916112,0.007249885447815796,1.0,0.9770161011166023,0.9770161011166023
8303,nominal,0.0,geometry,0.6557404654182631,0.0,,,
8303,vertical,4.0,geometry,0.6809801563594228,0.02523969094115963,1.0,1.0,1.0
8303,leverage,50.0,geometry,0.7661806335413452,0.1104401681230821,0.02661122184193111,1.0,0.02661122184193111
8303,mixed,50.0,geometry,0.7765382109678078,0.1207977455495447,0.02661122184193111,1.0,0.02661122184193111
8303,gaussian,0.4,geometry,0.6591719032579398,0.0034314378396766987,0.9994415579612153,1.0,0.9994415579612153
8303,nominal,0.0,schweppe_type,0.6415186487795018,0.0,,,
8303,vertical,4.0,schweppe_type,0.6530197478945143,0.011501099115012514,0.986735722222731,0.44492579967168344,0.44234537803083535
8303,leverage,50.0,schweppe_type,0.7257962902227596,0.08427764144325778,0.006084633186518414,0.3953890648040564,0.08909907989735316
8303,mixed,50.0,schweppe_type,0.7248758854012185,0.08335723662171668,0.006084633186518414,0.39737818244220413,0.1734322474838534
8303,gaussian,0.4,schweppe_type,0.6481700221297444,0.006651373350242573,0.9795981305053311,0.9967856259531737,0.9904428827856699
8303,nominal,0.0,bgr,0.6557404654182631,0.0,,,
8303,vertical,4.0,bgr,0.6711234037570128,0.015382938338749708,1.0,0.5985324490214464,0.5985324490214464
8303,leverage,50.0,bgr,0.6851872327788143,0.029446767360551185,0.02661122184193111,0.2788771250500251,0.007402013653367753
8303,mixed,50.0,bgr,0.6843383228737738,0.02859785745551069,0.02661122184193111,0.297257030550151,0.007833077766396088
8303,gaussian,0.4,bgr,0.6591966459756855,0.0034561805574223614,0.9994415579612153,0.9999640762558816,0.9994056342170967
8404,nominal,0.0,ridge,0.6706693314549381,0.0,,,
8404,vertical,4.0,ridge,0.7009600387135896,0.03029070725865146,1.0,1.0,1.0
8404,leverage,50.0,ridge,1.1189483703490724,0.44827903889413423,1.0,1.0,1.0
8404,mixed,50.0,ridge,1.0950917900425268,0.42442245858758865,1.0,1.0,1.0
8404,gaussian,0.4,ridge,0.6697459126569748,-0.0009234187979633157,1.0,1.0,1.0
8404,nominal,0.0,huber,0.6624402857299558,0.0,,,
8404,vertical,4.0,huber,0.6683741900895963,0.005933904359640474,1.0,0.26257239362395823,0.26257239362395823
8404,leverage,50.0,huber,1.125837330721198,0.4633970449912421,1.0,0.9062555321060697,0.9062555321060697
8404,mixed,50.0,huber,1.0534451479395366,0.39100486220958075,1.0,0.6518647286359762,0.6518647286359762
8404,gaussian,0.4,huber,0.6613080677198385,-0.001132218010117314,1.0,0.9630766772854988,0.9630766772854988
8404,nominal,0.0,geometry,0.6700939187413246,0.0,,,
8404,vertical,4.0,geometry,0.7005495371849074,0.0304556184435828,0.9988077609288296,1.0,0.9988077609288296
8404,leverage,50.0,geometry,0.8364695637890359,0.1663756450477113,0.027411661587105552,1.0,0.027411661587105552
8404,mixed,50.0,geometry,0.8294817509611775,0.15938783221985287,0.027411661587105552,1.0,0.027411661587105552
8404,gaussian,0.4,geometry,0.6691032956153169,-0.000990623126007728,0.9995158045063186,1.0,0.9995158045063186
8404,nominal,0.0,schweppe_type,0.6600858839126839,0.0,,,
8404,vertical,4.0,schweppe_type,0.6723178087163609,0.012231924803677074,0.9386900063878577,0.3984936939142773,0.37876175400770584
8404,leverage,50.0,schweppe_type,0.7128692986243352,0.05278341471165138,0.00595543672213725,0.2414407477697431,0.01849389891530089
