seed,corruption_magnitude,group,count,median_information,median_abs_global_surprise,median_abs_local_surprise,median_global_influence,median_local_influence,mean_global_weight,mean_local_weight,median_local_radius_ratio
0,0.75,ordinary_clean,10527,0.000190404858101,0.7175422887422718,0.6827724445401507,0.0001833045468971,0.0001706226701766,0.9931039744969246,0.9937582354438128,1.0033527616915785
0,0.75,rare_clean,619,0.0008736061472501,0.9025258676444488,0.4144520752443486,0.0014786747904548,0.0003812195170579,0.9805083755210532,0.9994931061267888,2.634202212269191
0,0.75,duplicate_group,2476,0.000165770624466,0.6433665441722894,0.6019235384197748,0.0001337316714251,0.0001252202641914,0.9938132495999824,0.9961957273805916,0.9050409262245178
0,0.75,corrupted,619,0.0001869632821652,1.892510157011076,2.272787524286721,0.0013340185258951,0.0019372105493129,0.9770886901692134,0.9472471264300256,1.0042079804180517
1,0.75,ordinary_clean,10527,0.0001906655051018,0.7238128517048487,0.6686622124482748,0.000188419703629,0.0001651941112262,0.9924273268292728,0.9920441250907268,1.005391380191936
1,0.75,rare_clean,619,0.0008761648800152,0.8562351156354733,0.7323387127702546,0.0013865199800356,0.0010104453906573,0.9788210362482797,0.9870118373853112,2.715727210289777
1,0.75,duplicate_group,2476,0.0001580487344818,0.6854621680243881,0.6405717254176554,0.0001379876546244,0.0001194162211792,0.9941725023457564,0.991784570696896,0.9003151546763094
1,0.75,corrupted,619,0.0001891691100486,1.977295956146517,2.4393455939052724,0.0014003874986824,0.002387315235201,0.9701370493579814,0.9025451908096052,0.9926096946649668
10,0.75,ordinary_clean,10527,0.0001867122689181,0.7155056652662873,0.6623716803385448,0.0001805806994113,0.0001574355753244,0.9927843024910584,0.9951187732302612,1.000199240277967
10,0.75,rare_clean,619,0.000856491165934,0.8834563486944963,0.7109468072144747,0.0014818223405812,0.0011033172215588,0.9780811004897004,0.9873330413170084,2.730278327167623
10,0.75,duplicate_group,2476,0.0001635564779806,0.6786154419674125,0.6384851855205764,0.0001569689723786,0.000135688679387,0.9949140542658104,0.9964025886802952,0.91138272113949
10,0.75,corrupted,619,0.0001794512870284,1.8983189585190343,2.161623066167617,0.0012005532316529,0.0015317102587183,0.973093440616178,0.95836371245116,0.9779843168573126
11,0.75,ordinary_clean,10527,0.0001874590113903,0.6976555849359778,0.660961926583473,0.0001732347621965,0.0001651082449445,0.9924810992070132,0.9925175590347614,1.0011714646326693
11,0.75,rare_clean,619,0.0008334120955675,0.8995913667673958,0.4254801582741749,0.0014581060400974,0.0004041261358725,0.9790888771892328,0.9985445027842996,2.6593754578578888
11,0.75,duplicate_group,2476,0.0001609473085388,0.7448893926813158,0.7355106386416987,0.0001602512444845,0.0001799320693671,0.9933768310194732,0.9908168199284472,0.9160113597882324
11,0.75,corrupted,619,0.0002002604562742,1.915429382764528,2.503843665550469,0.0013764577541151,0.00241419747032,0.972203029681761,0.9005390415942235,1.043792993254241
12,0.75,ordinary_clean,10527,0.0001908134219004,0.7040263130861766,0.660575132376598,0.0001788372613093,0.0001637710611388,0.993396469546372,0.9943747829032076,1.0044218327797707
12,0.75,rare_clean,619,0.0008940764017964,0.8884465786297264,0.7727141953576293,0.0015007475293358,0.0011213085347058,0.9802271527552232,0.9879262329937776,2.6757779512541298
12,0.75,duplicate_group,2476,0.0001661454686449,0.7167279319007118,0.6801097869339376,0.0001443684248368,0.0001419487908219,0.994635961269478,0.9981094360885449,0.9207966047602512
12,0.75,corrupted,619,0.0001900162024668,2.044364172587898,2.319072742369992,0.0015449181705498,0.0020635176425942,0.9667491142096708,0.9396873110061202,0.9972658838149974
13,0.75,ordinary_clean,10527,0.0001866012379465,0.717201803841021,0.6434386499501387,0.0001796955189936,0.0001506105479569,0.9928160884251314,0.994995127463234,1.006422999055388
13,0.75,rare_clean,619,0.0008633520774031,0.9012673343352612,0.7288337388090342,0.0014928952857403,0.0010425594541018,0.9767462821294124,0.9864074620887036,2.691289291971512
13,0.75,duplicate_group,2476,0.0001665919149857,0.7047037500672152,0.6142809757964792,0.000158511230546,0.0001275300236327,0.9914966946475352,0.9949865511337866,0.9082547669336344
13,0.75,corrupted,619,0.0001901189392896,1.963861634074692,2.208360533548382,0.0014321083996888,0.0017889096874204,0.96974283665547,0.9461506886878394,1.0132355463851357
14,0.75,ordinary_clean,10527,0.0001941867746905,0.7067418545301761,0.6546429180101285,0.0001805821535789,0.0001598859439187,0.9932504910968544,0.9939076705989588,1.00724872660886
14,0.75,rare_clean,619,0.000888826533742,0.9308138768879752,0.7042043175538775,0.0015554999540139,0.0010333539614959,0.980898783045394,0.9871294121061648,2.7038271456345324
14,0.75,duplicate_group,2476,0.0001653640479659,0.7210458888029235,0.6393587925323619,0.0001661265956605,0.0001279965895463,0.9963283624228824,0.9987485501213856,0.9054294740525052
14,0.75,corrupted,619,0.0001952154065125,1.9907201784706865,2.450617746589161,0.0014783854999999,0.0023511779008135,0.969395701789904,0.9091829203237028,1.0128257681924693
15,0.75,ordinary_clean,10527,0.0001897270099855,0.7135930911373948,0.6642129664115378,0.0001809204520233,0.0001638702200049,0.9928311529870596,0.9950015528406628,1.0026791518117075
15,0.75,rare_clean,619,0.000906852692317,0.9010900079318048,0.7777395089316084,0.0015708321163871,0.001260898413506,0.980571008687552,0.9907113969955408,2.750801288189832
15,0.75,duplicate_group,2476,0.0001634639181329,0.7302128683926082,0.7063496375477699,0.0001666136570122,0.0001484913604803,0.9889172681167512,0.993693999376118,0.9294366387601716
15,0.75,corrupted,619,0.0001825779354489,1.8402103802563683,2.1331384547209566,0.0012465401982186,0.0016768958425173,0.9799057027005464,0.9416547368956988,0.998093896965935
16,0.75,ordinary_clean,10527,0.0001891115016983,0.7156062182357118,0.6900374096620071,0.0001825929376144,0.0001790448603365,0.9922783379350848,0.9915279290814808,0.9981792781268009
16,0.75,rare_clean,619,0.000886394398992,0.9165667691099884,0.4125208885978357,0.0014351052358326,0.0003961952339032,0.9766098657765756,0.9987278901899092,2.647219710871164
16,0.75,duplicate_group,2476,0.0001633732185277,0.7315261573242501,0.7052125965553682,0.0001610981634695,0.0001584397202227,0.9936557554749808,0.9934749421897744,0.9214195222653117
16,0.75,corrupted,619,0.000191444135661,2.016280223446553,2.586429254970828,0.0014934968148239,0.002605413462217,0.970704071107261,0.8889045408837372,1.017654373953861
17,0.75,ordinary_clean,10527,0.0001874101237469,0.713112900389262,0.6481648071341228,0.0001786322909489,0.0001495998103398,0.9927876585593632,0.9943671048518384,1.0066746083985845
17,0.75,rare_clean,619,0.0008567589674461,0.8886241334942289,0.7750392080500256,0.0014407410119705,0.0010756645489251,0.9782427162098072,0.9848616041364472,2.7003060179516765
17,0.75,duplicate_group,2476,0.0001624688004339,0.7361668241404056,0.6151163331692847,0.0001492374325841,0.0001112650663434,0.9924033842506768,0.9960089369585152,0.9068444989957024
17,0.75,corrupted,619,0.0001858237609584,1.797095026829728,2.09922767496745,0.0011976193431024,0.0015205253728885,0.9748584775702108,0.963720086609772,0.994770748674184
18,0.75,ordinary_clean,10527,0.0001867636290987,0.7059504972220179,0.6478338129944208,0.0001780616096733,0.0001494233902569,0.9926665198754908,0.9942859424568994,1.003152560419881
18,0.75,rare_clean,619,0.0008529633385387,0.9359460396544363,0.7997338780941873,0.0014661319106803,0.0011395063985091,0.9796074252728012,0.9913298396344546,2.7385364268628294
18,0.75,duplicate_group,2476,0.0001653376043093,0.764564151898207,0.6734457054421662,0.0001781584625394,0.0001465211063684,0.9962059729029727,0.9974480638235702,0.9258857778924924
18,0.75,corrupted,619,0.0001820393087692,1.8621490650785189,2.1141264718911823,0.0011995383270394,0.0015805041977211,0.975260455328605,0.964196294523304,0.9753061826899968
19,0.75,ordinary_clean,10527,0.0001866141212913,0.7315352027270707,0.6883848565227825,0.0001862140882804,0.0001782580847688,0.9910889639972372,0.9906542678554175,1.0045316721303836
19,0.75,rare_clean,619,0.0009313296742191,0.8940164624877203,0.4130581661692791,0.0014609799878282,0.0004119970537246,0.9764141889004574,0.99834437566249,2.7195895369416565
19,0.75,duplicate_group,2476,0.0001668765172694,0.6920698505079845,0.6647757178174806,0.0001374802046109,0.0001466242162287,0.994202603898341,0.9960200040323413,0.9335751768188006
19,0.75,corrupted,619,0.0001813468218879,1.948572901703356,2.535713100577273,0.0013417081911694,0.002500162381424,0.973474190382596,0.8838772000438315,0.9972550640928036
2,0.75,ordinary_clean,10527,0.0001909271522977,0.7137520193149379,0.6835095710149376,0.0001820250953633,0.0001738777385668,0.9928665619659184,0.9916559021037294,1.0018033666474255
2,0.75,rare_clean,619,0.0008853922794859,0.9391085963820256,0.7272728660367124,0.0015415547298783,0.0011548811542531,0.9805605786664968,0.9905258795962092,2.70575882117342
2,0.75,duplicate_group,2476,0.0001629903862089,0.6520534670376631,0.6210937822189027,0.000132353688072,0.0001272050696582,0.9932101784659568,0.9972082270167948,0.9069847996984068
2,0.75,corrupted,619,0.0001847344946665,2.0011931728137093,2.617786323982244,0.0013758757255003,0.0026277473132482,0.9700308417493644,0.8917412064528712,0.9783397168517644
3,0.75,ordinary_clean,10527,0.0001917293075921,0.7075160665065517,0.6993348975835972,0.00018004983918,0.0001834312947478,0.99273513157614,0.9931036290342676,1.0042422249115612
3,0.75,rare_clean,619,0.00089213866413,0.875555656402999,0.4310289441287799,0.001526830187423,0.0004203045776478,0.979085601816684,0.9986882976400032,2.7203419660661123
3,0.75,duplicate_group,2476,0.0001648884750669,0.6607683036495846,0.6780211617521936,0.0001397590696622,0.0001455239268093,0.9930862007274208,0.9938721378780396,0.906904807317065
3,0.75,corrupted,619,0.0002013193793311,1.9218677475030157,2.331296461370573,0.0013901856666462,0.0020846773558031,0.9713148605618568,0.934545527636994,1.024957627582542
4,0.75,ordinary_clean,10527,0.0001761018141437,0.7248813319290692,0.6752050406984201,0.0001781697025271,0.0001552383589435,0.9920840290542844,0.9936887369772608,1.0087118132084048
4,0.75,rare_clean,619,0.0008052945159282,0.7097582492033443,0.3690668760852645,0.0009781936133846,0.0002748178510189,0.982736995411134,0.9986842489204968,2.693755102619459
4,0.75,duplicate_group,2476,0.0001530563956653,0.6981410452352876,0.6658798198800597,0.0001356143700996,0.0001223465101995,0.9935021057759228,0.9968327602794472,0.8994621201917645
4,0.75,corrupted,619,0.0001716616199767,1.9034636224321329,2.133328985656372,0.001247471894809,0.0015942570951914,0.9709443641379758,0.94986636088491,0.983237081256326
5,0.75,ordinary_clean,10527,0.0001871792189486,0.7187230566255056,0.7012881106805495,0.0001842543036028,0.0001790149831062,0.9927801827196808,0.9940617971561518,1.0018740284856318
5,0.75,rare_clean,619,0.0008905798574997,0.839217853672419,0.7545425738414808,0.001308380999252,0.001115883305832,0.979874764573484,0.9846239420324314,2.7060765011917693
5,0.75,duplicate_group,2476,0.0001607568616712,0.7266579164277367,0.6802827826336821,0.0001456745762822,0.0001351863594029,0.991438408772544,0.9940748419151492,0.9214433153669472
5,0.75,corrupted,619,0.0001901610812357,1.9643467918888076,2.380159031049935,0.0014011558313636,0.0019603382386418,0.9669269743022691,0.940998595511264,1.0129237836101244
6,0.75,ordinary_clean,10527,0.0001861095123154,0.7274011959856364,0.6693177730979882,0.0001880545295711,0.0001604624709347,0.9924658592703232,0.9932661550778406,0.9992832527732518
6,0.75,rare_clean,619,0.0008528364891263,0.8904084784700859,0.7218372404765668,0.0015253385619474,0.0010405792917021,0.9760252733994826,0.9852095447045024,2.7157786486847466
6,0.75,duplicate_group,2476,0.0001640840965284,0.6290008689614769,0.5816548904489692,0.0001276664650355,0.0001060237721851,0.9945254822853454,0.9945833617144966,0.9137717917903768
6,0.75,corrupted,619,0.0002007332736429,2.0462639312343063,2.4803453316826283,0.0015428777470979,0.0023721859293257,0.9661864056372584,0.905202470363515,1.0156391836713667
7,0.75,ordinary_clean,10527,0.000187514411722,0.7056848897333036,0.6762111616711699,0.0001765137080763,0.0001669351830221,0.992843734282972,0.992674993774668,1.000942591978518
7,0.75,rare_clean,619,0.0008628979844034,0.8687279992840207,0.7072511929338557,0.0013941592997608,0.0010608013861664,0.9819158764620364,0.9849545085501052,2.6928037088321184
7,0.75,duplicate_group,2476,0.0001573417716847,0.7194982411260511,0.6784193422627166,0.0001506649311802,0.0001420621466145,0.9930950368447096,0.9925576580922024,0.9024258348335592
