seed,family,variant,scenario,rmse,delta_rmse,kappa_x,kappa_y,scale,mean_corrupt_weight
1101,huber_scale,huber_pure,nominal,0.285317183306257,0.0,inf,1.5,0.1870787164275166,
1101,huber_scale,huber_pure,vertical,0.2868672633395384,0.0015500800332813869,inf,1.5,0.1870787164275166,0.0714048026767299
1101,huber_scale,huber_geometry_anchored_scale,nominal,0.2852778786323175,0.0,inf,2.0,0.18495611805939283,
1101,huber_scale,huber_geometry_anchored_scale,vertical,0.28717837401006074,0.0019004953777432276,inf,2.0,0.18495611805939283,0.09420178201105717
1101,kappa_x,line,nominal,0.28650665573476763,0.0,3.273533633738855,2.0,0.18495611805939283,
1101,kappa_x,line,vertical,0.2884992702821108,0.0019926145473431744,3.273533633738855,2.0,0.18495611805939283,0.09369472457230196
1101,kappa_x,line,leverage,0.2856321942738705,-0.0008744614608971468,3.273533633738855,2.0,0.18495611805939283,0.0017332490228159703
1101,kappa_x,line,mixed,0.28613802984101927,-0.0003686258937483644,3.273533633738855,2.0,0.18495611805939283,0.000568223847947032
1101,kappa_x,per_id,nominal,0.2862205719284212,0.0,3.0046826886204663,2.0,0.18335322198389015,
1101,kappa_x,per_id,vertical,0.2882203453317723,0.0019997734033511128,3.0046826886204663,2.0,0.18335322198389015,0.09203094348862015
1101,kappa_x,per_id,leverage,0.28540124505208087,-0.0008193268763403427,3.0046826886204663,2.0,0.18335322198389015,0.0013199775231678694
1101,kappa_x,per_id,mixed,0.2858691160730772,-0.00035145585534401835,3.0046826886204663,2.0,0.18335322198389015,0.0004824920260245198
1101,kappa_x,pi_weighted,nominal,0.286220950780414,0.0,3.004945536629352,2.0,0.18334396195211675,
1101,kappa_x,pi_weighted,vertical,0.2882206055818096,0.001999654801395634,3.004945536629352,2.0,0.18334396195211675,0.09202801837920481
1101,kappa_x,pi_weighted,leverage,0.28540156527194077,-0.0008193855084732138,3.004945536629352,2.0,0.18334396195211675,0.0013202355900177492
1101,kappa_x,pi_weighted,mixed,0.2858694656330407,-0.00035148514737326497,3.004945536629352,2.0,0.18334396195211675,0.00048254080010540353
1202,huber_scale,huber_pure,nominal,0.25344804330378473,0.0,inf,1.5,0.1775731181704993,
1202,huber_scale,huber_pure,vertical,0.25373479955780714,0.00028675625402241334,inf,1.5,0.1775731181704993,0.06726456786459101
1202,huber_scale,huber_geometry_anchored_scale,nominal,0.25307360565508646,0.0,inf,2.0,0.17301866916416356,
1202,huber_scale,huber_geometry_anchored_scale,vertical,0.2534941149833631,0.00042050932827664145,inf,2.0,0.17301866916416356,0.08750898058727369
