seed,regime,alignment,normalized_drift,test_mse
9300,réseau complet,0.8253208351925488,0.5910654190653541,0.11268200026151093
9300,extracteur gelé,1.0,0.0,0.7545784393831731
9300,modèle linéarisé,1.0000000000000002,0.0,0.3114509359695503
9301,réseau complet,0.749025057671099,0.708484216237597,0.09063780521577335
9301,extracteur gelé,1.0,0.0,0.8147461412224568
9301,modèle linéarisé,0.9999999999999999,0.0,0.3023054215831113
9302,réseau complet,0.8507895395869585,0.5462791601608856,0.08930323992473126
9302,extracteur gelé,1.0000000000000002,0.0,0.5780240183449555
9302,modèle linéarisé,1.0,0.0,0.3136306731833395
9303,réseau complet,0.8360683313992558,0.5725935183020224,0.11294432352289482
9303,extracteur gelé,0.9999999999999999,0.0,0.5700916887832109
9303,modèle linéarisé,1.0000000000000002,0.0,0.2616040930552965
9304,réseau complet,0.8419413653826628,0.5622430695301406,0.10570301590949618
9304,extracteur gelé,0.9999999999999998,0.0,0.8108750590260749
9304,modèle linéarisé,1.0,0.0,0.2819722412534575
9305,réseau complet,0.7842745011357934,0.6568492960553538,0.10557680443621947
9305,extracteur gelé,1.0,0.0,0.6122303840849994
9305,modèle linéarisé,1.0000000000000004,0.0,0.29643478792547173
9306,réseau complet,0.7931378503568542,0.6432140384710923,0.09398505178087728
9306,extracteur gelé,1.0,0.0,0.47467354339619683
9306,modèle linéarisé,1.0000000000000002,0.0,0.25747087364260074
9307,réseau complet,0.779506272014642,0.6640688638768696,0.10786879790936746
9307,extracteur gelé,0.9999999999999998,0.0,0.7106932802549958
9307,modèle linéarisé,1.0000000000000002,0.0,0.26883472324361724
9308,réseau complet,0.8572952182716352,0.5342373662116212,0.09433010214456326
9308,extracteur gelé,1.0000000000000002,0.0,0.48805076504561284
9308,modèle linéarisé,1.0000000000000002,0.0,0.3138070557074102
9309,réseau complet,0.8317116743073689,0.5801522656900187,0.10664126817288391
9309,extracteur gelé,0.9999999999999998,0.0,0.6877954183866107
9309,modèle linéarisé,1.0,0.0,0.30956921630242595
